date,text,name,label,Segment,WC,WPS,Sixltr,Dic,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,Emoji
NaN,power armed who s alpha male now bitches thought myself regarding girls who ve looked past quickly admired new weapon locking safe preparing go back hometown winter break didn t attend lemelson s christmas party year would ever again person ever really hung parties james james longer friend would extremely awkward james there knowing two us used old friends since first grade would avoiding other would foul bitter experience already gone enough anguish last months days christmas took mother sister another vacation england called month previously tell it first didn t want go knowing feel miserable going vacation without girlfriend experience me along shame appear relatives fashion unsatisfied with year passed since last trip exactly position life nothing grandmothers proud of girlfriend future prospects life,Elliot Rodger,1,1,125,125,31.2,80.8,25.6,5.6,2.4,1.6,0.8,0,0,0,3.2,0,12,3.2,4.8,4,3.2,6.4,4.8,0,1.6,2.4,2.4,0.8,14.4,3.2,3.2,2.4,12,5.6,6.4,4,2.4,0.8,18.4,3.2,2.4,4,0.8,3.2,1.6,1.6,1.6,4,0.8,0,0.8,1.6,0,1.6,0,0,28,7.2,0.8,19.2,0.8,3.2,3.2,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-12,i've said before but i really wish i'd known ended here,stair twitter archive,1,1,11,11,0,100,63.64,27.27,27.27,27.27,0,0,0,0,0,0,45.45,18.18,18.18,18.18,0,18.18,9.09,9.09,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,36.36,9.09,0,9.09,0,0,0,0,18.18,9.09,0,9.09,0,0,0,0,0,0,18.18,0,0,18.18,0,0,0,0,0,0,0,0,0,0,18.18,0,0,0,0,0,0,0,0,18.18,0,0,0
2003-06-07,looking freind grey ironicaly another contract killer creature lumbered forward creeping draven annie's parked car it picked rock slowly made way back window started hit glass window window brake lack energy creature had shit let's get peice shit brakes window annie said climbing car draven followed hey you yeah rotten mother fucker annie shouted taunting creature beckoning come closer draven snuck behind it annie grinned draven grabbed ahold shirt jerked back knocking balance draven cocked hammer back 45 stuck barrel mouth squeezing trigger blood shot hit face annie started laugh god damn it draven said whiping blood face draven looked smiled climbed back car,Jeffrey Weise,1,1,104,104,24.04,66.35,12.5,4.81,1.92,0,0.96,0.96,0,0,2.88,0,11.54,0.96,8.65,2.88,0,3.85,0.96,0,0,1.92,0.96,3.85,5.77,0.96,0,0,12.5,3.85,8.65,0,7.69,0,5.77,0,1.92,0.96,0,0,1.92,0.96,0,8.65,2.88,2.88,1.92,8.65,7.69,0,0.96,0,16.35,7.69,1.92,7.69,0,1.92,0.96,3.85,0,0.96,0.96,0.96,0,0,1.92,0,0,0,0,0,0,0,0,1.92,0,0,0
2017-02-21,blows hard man videos alicia best work especially how to's,stair twitter archive,1,1,10,10,10,70,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,10,0,10,0,0,10,0,0,10,10,10,0,0,0,0,10,0,10,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,10,20,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0
2016-12-13,envisioning picturing smile face open presents and imagining taking back tears,stair twitter archive,1,1,11,11,36.36,72.73,18.18,0,0,0,0,0,0,0,0,0,9.09,0,0,9.09,0,9.09,0,9.09,0,0,0,0,0,0,0,0,18.18,9.09,9.09,0,0,9.09,27.27,9.09,0,0,0,0,0,18.18,0,0,0,0,0,9.09,9.09,0,0,0,18.18,0,9.09,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-20,idolize two dead serial killers i'm totally normal,stair twitter archive,1,1,8,8,37.5,75,37.5,12.5,12.5,12.5,0,0,0,0,0,0,12.5,12.5,0,12.5,0,12.5,0,0,0,0,12.5,0,0,0,0,0,12.5,0,12.5,0,12.5,0,25,0,0,12.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,12.5,0,0,0,0,0,0,0,0,12.5,0,0,0
2012-02-01,murder genocide manipulation deception torture cruelty faggotry need die,William Atchison,1,1,9,9,66.67,77.78,0,0,0,0,0,0,0,0,0,0,11.11,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,33.33,0,33.33,0,22.22,0,11.11,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-22,easy me it matter are or tough are some souls scare plasma me,stair twitter archive,1,1,13,13,0,92.31,53.85,23.08,15.38,15.38,0,0,0,0,7.69,0,15.38,15.38,0,15.38,0,0,0,7.69,0,7.69,0,0,0,0,0,0,23.08,7.69,15.38,7.69,0,0,23.08,0,0,0,15.38,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-12,no you're family,stair twitter archive,1,1,3,3,0,100,66.67,33.33,33.33,0,0,33.33,0,0,0,0,33.33,33.33,0,33.33,0,0,0,0,33.33,0,0,0,66.67,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,33.33,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,33.33,0,0,0
2011-09-06,underweight used think asexual primary reason thought bmi 14,Adam Lanza,1,1,9,9,44.44,55.56,0,0,0,0,0,0,0,0,0,0,33.33,0,22.22,11.11,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,44.44,33.33,22.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-01-04,walks alone opened door walked hallway stairs continued front door destiny hand mood dark music godsmack re align,Kimveer Gill,1,1,18,18,22.22,66.67,0,0,0,0,0,0,0,0,0,0,5.56,0,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,5.56,0,0,5.56,0,0,0,0,0,0,0,0,0,11.11,0,5.56,5.56,5.56,5.56,0,0,0,33.33,16.67,11.11,5.56,0,0,5.56,11.11,0,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-06,struggling make conversation school cough egs cough embersghostsquad,stair twitter archive,1,1,8,8,37.5,75,0,0,0,0,0,0,0,0,0,0,12.5,0,0,12.5,0,0,0,0,0,0,0,0,12.5,0,0,0,12.5,0,12.5,12.5,0,0,12.5,0,12.5,0,0,0,0,0,0,0,0,0,0,25,0,25,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-05,rt two days,stair twitter archive,1,1,3,3,0,66.67,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NaN,amazing life suffer much loneliness humiliation introduced girls sex past pretty top that family extremely wealthy owned sprawling mansion countryside where s justice thought couldn t born life envied max much life must heaven earth despite envy max couldn t hate him least time popular young person ever reached me invited visit home treated like friend that always grudging respect max bonon three weeks france exciting social things returned lonely life u s became even depressed beginning summer especially getting taste life truly like normal people knew could never live pleasurable life knowledge haunted me back routine world warcraft least new expansion coming soon tried look forward that twelfth grade began made vow finish high school month march high school system independence allows students work pace extra work,Elliot Rodger,1,1,128,128,26.56,76.56,21.09,5.47,2.34,1.56,0,0,0.78,0,3.13,0,7.81,2.34,4.69,1.56,0.78,5.47,0.78,0,0.78,4.69,1.56,0,6.25,0.78,0.78,2.34,14.06,7.81,6.25,0.78,3.13,3.13,12.5,3.13,2.34,2.34,0.78,4.69,0,0,0,1.56,0.78,0,0,6.25,0,4.69,0.78,0.78,21.88,2.34,5.47,14.84,4.69,3.13,0.78,1.56,0.78,0.78,0,0,0,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-13,least lost v card age 16 i'm way ahead curve compared internet,William Atchison,1,1,12,12,16.67,58.33,25,8.33,8.33,8.33,0,0,0,0,0,0,16.67,8.33,8.33,8.33,0,0,8.33,0,0,8.33,8.33,0,0,0,0,0,8.33,0,8.33,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,16.67,0,16.67,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,8.33,0,0,0
2016-11-04,three months later animation style changed time focused intro egstapes premier,stair twitter archive,1,1,11,11,45.45,45.45,9.09,0,0,0,0,0,0,0,0,0,9.09,0,9.09,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,9.09,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.36,9.09,0,27.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NaN,it s grand fuck us 24 7 fun can t single minute harmless playtime suffer it s dandy rape us we re allowed even speak raped fuck you love pretend to hedonists charlatans sadists rapists terrorists never know feelings giving lives cause never felt single ounce pain hedonistic lives never give single bud light shot cognac half drop precious blood another human being fuck shit lie afterwards fucked us fuck you kill you lighter penalty masqueraded democratic terrorists commit unforgivable acts treason mankind world run lovers terrorism nowhere world hide lovers sadism never know weak defenseless fucked strike day night school public home comfortable hour protected place never know kill slash throat bullet back torture knives hammers bolt cutters scissors always live fear never able go school work rest sleep,Seung Hui Cho,1,1,130,130,23.85,73.08,20.77,6.92,5.38,0,3.08,2.31,0,0,1.54,0,11.54,1.54,2.31,8.46,0,1.54,0.77,0,5.38,3.85,2.31,5.38,12.31,0,2.31,0.77,23.08,6.92,16.15,3.08,10.77,0.77,13.85,3.85,1.54,0,0,6.15,1.54,0.77,0,3.08,0,0.77,1.54,13.85,3.08,1.54,9.23,0,15.38,1.54,3.08,10,2.31,1.54,0.77,0.77,0,0,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-08-29,sentenced sentenced one best bands ever bad people havn't heard i'm sure thousands would love rock sentenced mood sentenced music sentenced marilyn manson august 29 2006 12 35 pm marilyn manson one personal heros totally rock man like old stuff better new shit rock mood sentenced music sentenced,Kimveer Gill,1,1,48,48,25,72.92,18.75,4.17,2.08,2.08,0,0,0,0,2.08,0,8.33,4.17,2.08,4.17,2.08,4.17,0,0,0,2.08,14.58,2.08,12.5,0,0,4.17,20.83,10.42,4.17,0,2.08,0,8.33,0,0,2.08,0,6.25,0,0,0,6.25,0,6.25,0,4.17,2.08,0,2.08,0,8.33,0,0,8.33,0,6.25,12.5,0,0,4.17,0,0,0,2.08,4.17,0,0,0,0,0,0,0,0,4.17,0,0,0
2011-12-30,thrown knees oh god mercy please castle gasped imprisoned breath shallow confines fragile chest i'm lamb ain't sheep death always sod repulsive odd never even deserved presence god yet here around cradle plod came foot without shod improper rude however shall mind mud feet blood sheet now feel death mocking you stalking inside you wriggle writhe feel smaller beneath might seizure pestilence scythe die you,Thomas Michael Lane,1,1,65,65,26.15,66.15,26.15,6.15,6.15,1.54,0,4.62,0,0,0,0,10.77,6.15,1.54,6.15,3.08,9.23,6.15,1.54,4.62,0,0,0,4.62,0,0,0,4.62,1.54,3.08,0,3.08,0,16.92,3.08,0,0,1.54,3.08,1.54,4.62,1.54,4.62,0,0,4.62,10.77,9.23,1.54,0,0,15.38,3.08,6.15,6.15,0,0,0,0,0,4.62,4.62,1.54,0,0,3.08,0,0,0,0,0,0,0,0,3.08,0,0,0
NaN,wanted to 15 minutes started bike trail next target first targets lights bedroom think got away undetected walking next target shot stuff heh vodka brought sawed bbgun bb's too loaded it pumped it fired shots houses trees stuff probably didnt damage houses arent sure gun loud all good next target set saturn missle battery rockets fuses 2 3 feet long lit vodka kibbz hiding shadows luckily trees stuff 2nd target could hide pretty good anyway lit went others watched fuses burned burned then rockets went off pretty nice much ment prank nice little fireworks show made noise nothing shit yer pants about battery didnt werk went back checked out fuse burned 2 inches said baby lit it right made others went off pretty quick loud too since,Eric Harris,1,1,127,127,14.17,67.72,23.62,6.3,0,0,0,0,0,0,6.3,0,12.6,3.15,10.24,1.57,0,5.51,5.51,0.79,3.15,1.57,4.72,0.79,1.57,0,0,0.79,10.24,7.87,2.36,0,0.79,0.79,11.02,0.79,2.36,1.57,3.94,1.57,0,0.79,0,6.3,3.15,3.15,0,1.57,1.57,0,0,0,18.9,4.72,5.51,7.87,0.79,0.79,3.15,2.36,0,0,0,0.79,0,0,0.79,0,0,0,0,0,0,0,0,0.79,0,0,0
2017-01-24,rt ever hear myth want famous gotta sell soul devil,stair twitter archive,1,1,10,10,0,70,10,0,0,0,0,0,0,0,0,0,30,10,0,20,10,10,0,0,0,0,0,0,10,0,0,0,10,0,10,0,0,0,20,0,0,10,0,10,0,0,0,10,0,10,0,0,0,0,0,0,10,0,0,10,0,0,0,0,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NaN,could spend day mrs neal would very nice luke woodham pass year would knock crud omniscient dork putting junk computer would go crazy kill teachers would slowly pain fully torture principals death would withdraw money bank give luke woodham would get teachers principals bank account numbers withdraw money give luke woodham would acid would get gun blow brains dog gone room leave house luke woodham,Luke Woodham,1,1,65,65,24.62,69.23,16.92,0,0,0,0,0,0,0,0,0,23.08,13.85,1.54,7.69,12.31,1.54,0,0,0,1.54,0,0,4.62,0,0,1.54,10.77,1.54,9.23,1.54,3.08,0,13.85,0,0,13.85,0,0,0,0,0,1.54,0,0,0,4.62,1.54,3.08,0,0,15.38,7.69,3.08,4.62,4.62,0,0,3.08,9.23,0,3.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-15,christmas thanksgiving always hardest halloween best valentines doable leave much else,stair twitter archive,1,1,11,11,45.45,63.64,27.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.27,0,0,0,0,0,0,9.09,9.09,0,0,0,0,9.09,0,0,0,0,9.09,0,0,0,9.09,0,0,9.09,0,0,0,0,0,27.27,9.09,0,18.18,0,9.09,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-05-18,gecko took seat gecko i'm hoping find work you see used work guy named paulie viti but tryed whacked so long story short put dent tha' ferelli family's biz i hopin' work 'orginization 'i hear guy's big street's guy's take shit anyone that's kinda thing wanna part of,Jeffrey Weise,1,1,48,48,10.42,70.83,25,14.58,8.33,6.25,0,2.08,0,0,6.25,0,14.58,4.17,4.17,10.42,0,2.08,4.17,4.17,0,2.08,0,2.08,14.58,0,0,6.25,4.17,2.08,2.08,0,2.08,0,16.67,2.08,2.08,4.17,6.25,0,0,0,2.08,4.17,2.08,2.08,0,2.08,2.08,0,0,0,12.5,4.17,6.25,2.08,8.33,6.25,0,0,0,0,0,0,0,0,20.83,0,0,0,0,0,0,0,0,20.83,0,0,0
2006-11-19,love them hate hurting them nice good people hope outcasts treated better gss hope em like reb vod me fucking hero it s kinda weird i ve planning knowing long time feels like damn came quick,Sebastian Bosse,1,1,36,36,16.67,77.78,16.67,13.89,11.11,5.56,0,0,0,5.56,2.78,0,16.67,0,2.78,13.89,0,2.78,0,0,0,0,0,5.56,11.11,0,0,2.78,33.33,19.44,13.89,0,8.33,2.78,16.67,5.56,0,5.56,8.33,0,0,2.78,0,2.78,0,0,2.78,5.56,0,0,5.56,0,11.11,2.78,0,8.33,0,8.33,0,0,0,0,0,0,0,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-06,bad see see man boy could be meets eye see soul inside,stair twitter archive,1,1,12,12,0,100,25,0,0,0,0,0,0,0,0,0,41.67,16.67,0,25,0,0,8.33,0,0,0,0,0,25,0,0,16.67,8.33,0,8.33,0,0,0,16.67,0,0,8.33,0,0,0,8.33,0,33.33,33.33,0,0,8.33,8.33,0,0,0,8.33,0,8.33,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-14,it's already knees wtf birthday goddesses say let snow bury earth's east coast,stair twitter archive,1,1,13,13,23.08,61.54,15.38,7.69,0,0,0,0,0,0,7.69,0,15.38,15.38,0,7.69,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,7.69,0,7.69,7.69,0,0,0,23.08,0,7.69,15.38,0,0,0,0,0,0,7.69,0,0,0,15.38,0,0,0,0,0,0,0,0,15.38,0,0,0
NaN,skateboarding playing world warcraft together teenagers walks palisades town center big part life gone faded away memory didn t friends left anymore friends entire world didn t want see philip addison cried front getty museum completely utterly alone darkest pit despair pit withered agony deep depression lasted well summer life stayed stagnant miserable hatred towards everyone especially women depriving happy life grew stronger questioned going happen now didn t want resort exact ultimate vengeance didn t want die wanted something live for way become wealthy continued see way would ever beautiful girlfriend lose virginity ultimate dream experience pleasures love sex girls become rich enough worthy them would settle beautiful girlfriend beautiful children her would raise live much better life one i ve suffer through would satisfying vengeance,Elliot Rodger,1,1,127,127,33.07,75.59,20.47,3.94,2.36,0.79,0,0,0.79,0.79,1.57,0,13.39,4.72,3.15,7.09,3.15,3.94,3.15,0,0,3.94,0.79,0,9.45,0,3.15,2.36,19.69,11.81,7.87,0.79,0.79,7.09,13.39,3.15,0,6.3,1.57,3.15,0,0,0.79,4.72,3.94,0,0,5.51,0,3.15,2.36,0,18.9,3.94,7.87,5.51,0,2.36,3.15,0,1.57,0,0.79,0,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-03,NaN,stair twitter archive,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NaN,lost got park sat car hours crying crying crying wailed agony tears streamed face stained collar couldn t take anymore feeling need talk someone called people life parents called both first mother father told much suffering loneliness utter realization hope ever happy life told must ashamed me 21 year old virgin unable get girlfriend making friends whatsoever son parent would want tantrum parents phone deeply disturbed them arranged see psychiatrist dr charles sophy return home winter break phrase coined goes cannot join them rise them cannot rise them destroy them i ve trying join accepted among beautiful popular people life avail always treated like scum girls always deemed unworthy love sex tried overthrow gaining wealth young age trying come invention ideas,Elliot Rodger,1,1,121,121,23.14,79.34,14.88,6.61,5.79,1.65,0,0,0,4.13,0.83,0,18.18,3.31,7.44,9.09,1.65,0.83,0.83,0,1.65,2.48,1.65,0,19.83,4.96,1.65,2.48,16.53,6.61,9.92,1.65,1.65,6.61,13.22,3.31,0.83,4.13,1.65,3.31,0,1.65,0,2.48,1.65,0,0.83,6.61,0.83,3.31,2.48,0,17.36,4.13,2.48,9.92,0,5.79,0,0.83,0.83,0,0,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-11,ever miss fuck,stair twitter archive,1,1,3,3,0,100,33.33,0,0,0,0,0,0,0,0,0,66.67,0,0,66.67,0,33.33,0,0,0,0,0,33.33,0,0,0,0,66.67,0,66.67,0,33.33,33.33,33.33,0,0,0,0,33.33,0,0,0,0,0,0,0,33.33,0,0,33.33,0,33.33,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-07-28,romeo juliett life love juliett mood music metallica sleeps,Kimveer Gill,1,1,9,9,33.33,55.56,0,0,0,0,0,0,0,0,0,0,11.11,0,0,11.11,0,0,0,0,0,0,0,0,11.11,0,0,0,22.22,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,11.11,0,33.33,11.11,11.11,11.11,0,0,0,0,0,0,0,11.11,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
