date‎text
2004-06-14‎urlLink    Ben in action! urlLink
2004-07-16‎urlLink    FRANCIS JUARA!!!!!! urlLink
2004-07-16‎urlLink    Clare cheerleaders urlLink
2004-07-16‎urlLink    And some more.. urlLink
2004-07-16‎urlLink    More cheerleading urlLink
2004-07-16‎urlLink    Assunta cheerleaders urlLink
2004-07-16‎urlLink    Our marching team!!! urlLink
2004-07-16‎urlLink    Victory is mine!!!!  Erica's... urlLink
2004-07-16‎urlLink    Up close  personal urlLink
2004-07-16‎urlLink    Assunta Volleyball Team! Well, half the team.. urlLink
2004-07-16‎urlLink    Snake lady...SsSsSs... urlLink
2004-07-16‎urlLink    Commercial: Check this out! urlLink
2004-07-16‎urlLink    Left: Julia, Nisa, Ida, E Von, Devinia, Menisha, Mei yee urlLink
2004-07-16‎urlLink    ADAM!!!!!!! urlLink
2004-07-16‎urlLink    Ainaa  Ida urlLink
2004-07-16‎urlLink    Aikz??? urlLink
2004-07-16‎urlLink    again, me is missing in action urlLink
2004-07-16‎urlLink    Oh...forgot to mention... it was Ida's sweet 16 urlLink
2004-07-16‎urlLink    NinaCroft urlLink
2004-07-16‎urlLink    Ida's sis, Ida urlLink
2004-07-16‎urlLink    Ainaa by the pool..wonder what she thinking... urlLink
2004-08-09‎urlLink    Don't ask... urlLink
2004-08-09‎urlLink    Yay! Food! Our recess got delayed for like nearly two whole hours!! urlLink
2004-08-09‎urlLink    The new board's theme for their year urlLink
2004-08-09‎urlLink    Now we get our respective certs...  urlLink
2004-08-09‎urlLink    Now all we're missing is white face paint  red noses..Ahahaha... urlLink
2004-08-09‎urlLink    happy people with NO more duties!! urlLink
2004-08-09‎urlLink    Pic with Mrs Toh.. Sweet.. urlLink
2004-08-09‎urlLink    Poor Nevina.. urlLink
2004-08-09‎urlLink    Time for group pic! Don't they look happy?? ;) urlLink
2004-08-09‎urlLink    Woo Hoo!!! We're SO off duty! urlLink
2004-08-09‎urlLink    Our musicians.... Naveena  Nicole! urlLink
2004-08-09‎urlLink    Singing school song informally urlLink
2004-08-09‎urlLink    Speech by Lin Jing before handing over the job to the new Head girl urlLink
2004-08-09‎urlLink    Us singing 'Kau Ilhamku' urlLink
2004-08-09‎urlLink    Singin' prefects' songs with the new board urlLink
2004-08-09‎urlLink    Prefects of 2003/2004! urlLink
