date‎text
2004-05-31‎urlLink    in memoriam...
2004-06-18‎Below are a bunch of photos from my family's trip to Bermuda. We went from the 19th to the 25th of June. The pictures are in reverse chronological order, so scroll down to the picture from the airport to start from the beginning. Since I didn't want to overwelm you all with pictures, I only chose a few. In total we got about 75 pictures from the trip. Enjoy!  -Tristan
2004-06-18‎urlLink    (fifth day) During our stay there, a big yacht race finished in Bermuda. These are a bunch of the yachts, but not nearly all of them.
2004-06-18‎urlLink    (fifth day) This is a cool picture of me. I can't remember which beach this was.
2004-06-18‎urlLink    (fifth day) Since only residents are allowed to have cars, we did a lot of bus (and ferry) riding. This is what all of the bus stops look like.
2004-06-18‎urlLink    (third day) Another postcard worthy picture from Warwick Long Bay
2004-06-18‎urlLink    (third day) Taken near Warwick Long Bay. This could be a post card...
2004-06-18‎urlLink    (second day) another picture from the porch. This picture shows the color of the water well. It really was that blue.
2004-06-18‎urlLink    (second day) this was taken from the porch of a house inside the large fort in Bermuda
2004-06-18‎urlLink    (second day) small harbor in the bay of Bermuda. This picture doesn't do the color of the water justice
2004-06-18‎urlLink    (second day) since Bermuda is a British colony, people drive on the left side of the road
2004-06-18‎urlLink    (first day) Bermuda International Airport (where we arrived)
2004-06-18‎urlLink    (effected) Timely Watermelon
2004-06-15‎urlLink    Here is my full (first and last) name, first in Hebrew, then in Japanese. Someone did this for me in return for a Gmail invitation :)
2004-06-13‎urlLink    Saw it last night. Pretty good.
2004-06-11‎urlLink    I'm not sure if this is a butterfly or a moth. If it's a moth, it's a pretty nice-lookin' moth
2004-06-09‎urlLink    yellow-purple flowers
2004-06-09‎urlLink     the moth  (no intentional connection to the aimee mann song)
2004-06-09‎urlLink    We got it out though (and no, we didn't kill it)
2004-06-08‎urlLink    As my dad and I were picking strawberries, this sneaky chipmunk tried to get into the small patch, but rightfully got stuck in the netting.
2004-06-08‎urlLink    No more, so stop asking me! Hehe
2004-06-08‎urlLink    simply a peony
2004-06-08‎urlLink    Yeah! I got 2 more invitations! Actually, I got three, but gave one to my brother. Yeah, I'm such a loving little brother.
2004-06-07‎urlLink    Matt on the bus home from our end of the year trip.
2004-06-07‎urlLink    Sam G. on the bus home from our end of the year trip. Sunburned, but happy.
2004-06-07‎urlLink    taken at my grandparents' in upstate New York (farm/cow country, obviously)
2004-06-02‎urlLink    well, it wasn't exactly a thunderstorm with possible hail, but whatever
2004-06-01‎urlLink    This was so easy to make and turned out pretty cool. It kinda looks like it could be one of those  ambigram things . It's not though. I love the 'S'.
2004-06-01‎urlLink    (not by me) what can I say?
2004-07-27‎urlLink    I don't know if any of you are wondering about the lack of updates lately, but I've come with an explanation anyway. This week I'm taking a photography class, using good ol' black and white film in a good ol' Canon SLR. The class teaches camera functions, composition, and developing of film. It's been great. I've enjoyed using the film camera and can't wait to print my two rolls of film. I've already developed the film and made negatives, but am going to print them tomorrow. Maybe once school starts I'll scan a couple of them if they turn out well (I don't have a scanner of my own). Once I finish this class, I hope to start up on digital again. Though, I don't know if I'll be able to bare using this Kodak point and shoot again...it seemed a big pain taking these pictures. Maybe this will be what gets me to buy a new digital camera. Who knows, maybe I'll buy a film SLR and a scanner...who knows....
2004-07-25‎urlLink    NO. 71
2004-07-18‎I probably should have posted this a few days ago, but I'm going to be at my  urlLink grandparents' house  for about a week. There won't be any new photos posted until I get back, so hang tight!  -Tristan
2004-07-14‎urlLink    playful
2004-07-12‎urlLink    News! News! News!
2004-07-11‎urlLink    to fly...
2004-07-10‎urlLink    beautiful cliche
2004-07-09‎urlLink    semi-shadowed beauty
2004-07-09‎urlLink    ( photo friday ) suspended
2004-07-08‎urlLink    yellow is soft
2004-07-08‎urlLink    lily
2004-07-08‎urlLink    sphered!
2004-07-07‎urlLink    (effected) no title yet
2004-07-05‎urlLink    one toad.
2004-07-04‎urlLink    through a screen
2004-07-03‎urlLink    rest.
2004-07-02‎urlLink    water on the lotus leaf
2004-08-07‎urlLink    flowering wild
2004-08-06‎urlLink    budding
2004-08-04‎urlLink    yellowout!
2004-08-03‎I've posted two photos today (not quite a la  Your Waitress Photos ...). They are linked in a way, one, a photos up the stalk to the flower (not blooming at the moment) of a lotus. It shows it being supported by a small, twisty-tied  tube. The second, a small vine of some sort growing up, twisting and bending, without any support at all. Right into mid air...      urlLink    simple support      urlLink    climb
2004-08-01‎Well, I'm back at it! To make up a bit for all the days I missed, I decided to post  three  pictures today. I hope you enjoy them.   A note about the photography class :  I thoroughly enjoy it. I was pleased with most of the prints I made and I learned a lot. I was correct in predicting that going back to the Kodak point-and-shoot camera would be painful. There were pictures I really wanted to take, but just couldn't because of limitations of the camera. I hope that soon I'll have a digital camera with which I can take all the pictures that I would like to.  [Shameful begging starts now] If you would like to help me get a camera with which I can take pictures with real creativity, a donation would be  wonderful . From one dollar to  five hundred, they all would be greatly accepted. If you would like to donate, click the donate button on the right column below the copyright text. [/Shameful begging]  Anyway, it's changed my view of photography. I enjoyed doing black and white and I think I might start doing more black and white or de-saturated photos. We'll see. I hope you enjoy these three pictures.  -Tristan
2004-08-01‎urlLink    [the garden hadn't had rain for years, yet] plants still grew
2004-08-01‎urlLink    raise your corn up to the sky
2004-08-01‎urlLink    pots by two
