date‎text
2004-05-30‎urlLink    THAT ONE IS DEFFINETLY A KEEPER!!!! urlLink
2004-06-19‎urlLink    LOL...NICE TRAVIS NICEE!!! LOL NOW STOP IT... YOU'Re SCARING ME NOW.... HAHAHA urlLink
2004-06-19‎urlLink    LETS PLAY POCKER!!!!!!!!!!! Y DO GIRLS NEVER KNOW HOW TO PLAY POCKER??? LOL urlLink
2004-06-19‎urlLink    AWW....I WANT A TATOO ALSOOO!!!!!!! THATS SOOO CUTE!!!! LOVE THE LIL IRISH GUY MASONN!!! :) urlLink
2004-06-19‎urlLink    HEY CAROLINE... NICE SEEIN U AGAIN!!!! HOPE YOUR LIKIN LSU..... HEHEHE :) ILL GO VISIT U THERE...DONT WORRY!!!! urlLink
2004-06-19‎urlLink    SHANNON BABE.... FORGET ALL THAT DRAMA!!! ITS TIME TO PARTY! urlLink
2004-06-19‎urlLink    LOL...COLIN Y DO U ALWAYS HAVE TO TAKE YOUR CLOTHES OFF WHEN YOUR DRUNK??? LOL urlLink
2004-06-19‎urlLink    HEY ANDREA!!!! LOL... THANKS FOR DRIVING US TO GALVESTON!!! HEHE O YA... AND BTW... THANKS FOR ALMOST KILLING US TOO!!!!!!!!!!!!!!!!!!!!!! LOL.....  urlLink
2004-06-18‎urlLink    ON THE CAR HALF WAY TO GALVESTON!!! HIHIHI....  urlLink
2004-06-18‎urlLink    A DAY AT THE GALVESTON BEACH W THE GIRLS!!! HEHEHE.... PLANNING ON GETTIN TAN AND MEETING SOME HOT GUYS!!! HEHEHEHE :) urlLink
2004-06-18‎urlLink    AWW.... THATS SUCH A HOT PIC!!! CAT YOUR SO ADORABLE BABE.... WISH U THE BEST OF LUCK W YO HOT BABE!!!!!HEHEHE YA'LL R THE HOTTEST COUPLE!!!!!!! ;) urlLink
2004-06-13‎urlLink    SUMMER SCHOOL SUCKSSSSSSSS!!!!!!!!!!!!!!!!!!!!!!!! urlLink
2004-06-13‎urlLink    DOUG DOUG DOUG DOUG!!!!!!!!!!!! LOL urlLink
2004-06-13‎urlLink    DO IT MADINA STYLE!!!!!!!!!!!!!!!! LOL MAGGIE THATS ALL YOURS!!! LOL urlLink
2004-06-13‎urlLink    PARTY AT DAVES AND JUSTINS!!!!! SMILE GIRLS!!!!! urlLink
2004-06-13‎urlLink    LOL....OMG IM SUCH A PIMP!!!! CHECK ME OUT W ALL THESE GUYS!!! LOL...HAHAHAHA urlLink
2004-06-13‎urlLink    Emily and the guys! urlLink
2004-06-13‎urlLink    awww yo my lil girl Shannon!!!! your awsome!!! urlLink
2004-06-13‎As we try to just be friends  I often think of what could've been However, I feel as though my heart will never mend. i wonder where we went wrong,  our relationship sounds like so many sad songs will u ever see what u meant to me? will u ever miss, what we had? or do the memories just make u mad? i try so hard to move on but i dont want to realize that u r really gone. y cant we make it together, u and me? Am i not good enough? y cant u just be w me? I think of the days when u held me tight I felt like everything, was going to be alright. But all of the sudden, we started to fight. And our feelings for each other were soon outta sight. I hope that one day u will see that u lost everything... ...when u lost ME!!!
2004-06-12‎urlLink    A NIGHT W THE GIRLS!!!!!!!!!!!!!!!!!!!!!!! UHUUUHUHUUU LADIES.... PARTAY AT THE DOUBLE TREE!!! urlLink
2004-06-12‎urlLink    HERE COMES THE HOOCHIE MAMMAS READY TO ROCK THE PARTAY!!! :) urlLink
2004-06-12‎urlLink    HEY SHANNON.... WE'RE SOOOOO CUTEE!!! I LOVED MEETIN U!!! YOUR AWSOME....!!! THESE GUYS DONT KNO WHAT THEY'RE MISSIN!!! F* THESE STUPID GUYS!! HEHE.... LETS GET OURSELVES SOME NEW MEAT!!! LOL JK urlLink
2004-06-12‎urlLink    AWWW....THATS A GOOD ONE... BUT... CHRIS YOUR NOT SUPPOSE TO BE IN IT!!!!! LOL urlLink
2004-06-12‎urlLink    STAN.... WHAT THE HELL R U DOING??? HAVYS' GOT HIS SHIRT ON.... U CANT GET HIS NIPPLE LIKE THAT!!! urlLink
2004-06-12‎urlLink    GETTIN.... DRUNK DRUNK DRUNK!!! urlLink
2004-06-12‎urlLink    Thatsss cutez!!!!!!!!!!! last moments at the Hotel...HiHiHi... check out the view!!!! urlLink
2004-06-12‎urlLink    GET THE HELL OUTTA THE PIC HAVY!!!!!!!!! LOL urlLink
2004-06-12‎urlLink    There goes the BaLlaR!!!! hehehehe.......... Sara Kicks @ss!!!!!!!! urlLink
2004-06-12‎urlLink
2004-06-08‎urlLink    NOTHING LIKE GOIN OUT W THE GIRLS AND HAVING SOME FUN AFTER KICKIN SOME @$$!!!HAHAHA DONT I LOOK LIKE I JUST GOT OUT OF A FIGHT??? LOL NAW... DANG GIRLS... SORRY BUT... WE LOOK HOT!!!!!! :) urlLink
2004-06-08‎urlLink    GUYS.... I LOOOOOOOVVVVVVEEEEEEEEEEE THIS PIC OF US!!!!! SUPPER CREATIVE!!!! WE'RE DEFFINETLY SMOKIN'!!! HAHHAHA urlLink
2004-06-08‎urlLink    YAY GIRLS.... ARE YALL READY TO PARTAY?? urlLink
2004-06-08‎urlLink    Me and my girLie Maggie...LOVE U GIRL!!! SORRY U HAD TO SEE ME KICK SOME ASS TODAY!!! I KNO I KNO... PRETTY BAD!!! HAHAHA.... urlLink
2004-06-08‎urlLink    Yo... U tHeRe THE CAMERA IS HERE!!!! STOP CHECKIN OUT SHANNON!!! HEHEHEHE urlLink
2004-06-08‎urlLink    Danielle... baby... do u even kno hows that next to u??? LOL...  urlLink
2004-06-08‎urlLink    Hey GirLs... Look how hot u guys look!!! UhUuuhuuu lol... Loved meetin u guys!!!! U're AWSOMEE!!!! hehe urlLink
2004-06-08‎urlLink    EkKk... HihiHi... My nEwEst BuDdY!!! HeHe... urlLink
2004-06-08‎urlLink    AwWwWw...how cute u guys!!!! LOL... urlLink
2004-06-08‎Lamar is sooo f*ing full of drama!!! OMG.... like seriously ppl have nothing to do at that school!!!... These low class/white trash/slut/pot heads have absolutly nothing to do besides piss off ppl like me!!! And let me tell u... thats not a really good idea!!! Its hillarious how ppl can talk shit and when it comes to actually doing something about it, they chicken out!! They're so full of cr@p!!!See im a really nice and calm person... but dont push my buttoms!!! U'll see me go crazy! haha... I dont like fightin... that is just the lowest u can go!!! It is soo degrating... but i mean... sometimes a girls' gotta do what a girls' gotta do!!! but ya... just makin it short...        ....Dont call a fight u cant pull off!!!....                          .... LoL....                                    .... Ya Lauran Reed ....                                            .... Who kicked yo ass???? lol ....
2004-06-08‎urlLink
2004-06-08‎Whats up guys???? Im finally back in town!!! UhuUuhuu... The bad thing is.... there's nothing to doo!!! I cant believe my summer school starts tomo!! What a pain in the @$$!!! But o well... u gotta do what u gotta do!!!  This is gonna be a pretty busy summer!!! cant wait till summer schools over...... ROAD TRIP... YAY!!! HEHEHE.... BTW.... GIRLS.... WE'RE GONNA PARTY TONITE, AHN??? HIHIHI MUAH XOXO KISSEXS....... LOV YALL!!!
2004-06-06‎urlLink    EARLY IN MORNING.... ON OUR WAY TO CAMP!!!! ARGH... WE'RE ALL SOOO SLEEPY!!! WE'RE GONNA SLEEP ALL THE WAY THERE I KNO FOR SURE!! HEHE... COM'ON ITS 7 IN THE MORNING!!! THATS Y WE HAVE THE SHADES HEHEHEHE urlLink
2004-06-02‎urlLink    FIRST STOP IN DALLAS...WHAT DO WE DO???.... GOO EAT OF COURSE HEHEHHEE!!!! WHERE?? SONIC... HEHEHE....OMG U GUYS WONT BELIEVE... THEIR SONIC IS SOOOOOOOOOO NICE!!! WE ODER OUR FOOD THROUGH THE PHONE!!! WE SIT ON THE TABLE AND GET THAT LIL' PHONE AND JUST ORDER!!! HEHEHE ITS SOOOO KOOLLL!!! LOL urlLink
2004-06-02‎urlLink    FIRST DAY AT SMU  CHEER CAMP!!! READY GIRLS??? WELL 2 LATE... WE BETTER BE!!! LOL urlLink
2004-06-02‎urlLink    OMG...WE'RE SOO AWSOME!!! THIS PIC WAS TAKEN AT LIKE 7 IN THE MORNING AND LOOK HOW ADORABLE WE LOOK!!!! HEHEHE... urlLink
2004-06-02‎urlLink    THERES SOME OF THE NCA STAFF!!!! THEY'RE SOOO AWSOME!!!! TO BAD I DIDNT GET THE HOT GUYS!!! :/ O WELL...HEHEHE urlLink
2004-06-02‎urlLink    CHECK THAT OUT!!!! ISNT THAT AWSOME??? I LEARNED HOW TO DO THAT!! HEHEHE...WELL NOT EXACTLY..BUT... I FLEW FOR THE FIRST TIME!!! HELL YA urlLink
2004-06-02‎urlLink    LOOK HOW CUTE.... THE WHOLE SQUAD W OUR OUTFITTS!!! HEY GIRLS... WE DONT LOOK BAD AT ALL W THIS RED UNIFORM!!!!  urlLink
2004-06-02‎urlLink    AWWW...WHAT A CUTE PIC!!! THIS IS ME AND THE GIRLS AT THE FIELD!!!HEHHE...YA CAN U SEE THE LOOK ON MY FACE?? HEHE.. THATS CAUSE I HAD JUST SEEN THE HOTTEST GUY!!! LOL... U WOULD BE AMAZED OF HOW MANY HOT GUYS WERE THERE JUST TO SEE THE CHEERLEADERSS!!! EHHE UHUUU...FUN STUFF!!! urlLink
2004-06-02‎urlLink    HEY GIRLS....HEHEHE....SMILE... WE'RE DONE FOR THE DAY....WELL...ALMOST DONE!!! urlLink
2004-06-02‎urlLink    LATE NIGHT REUNIONS!!!! AFTER WORKING OUT ALL DAY...EVERYDAY....WE STILL HAVE TO DO HOMEWORK!!! ARGH!!! BUT WE HAVE FUN!!! HEHE urlLink
2004-06-02‎urlLink    THE WHOLE SQUAD AT THE SMU CAMPUS PREPARING FOR THE EVALUATIONS!! urlLink
2004-06-02‎urlLink    HELL YAA!!! AFTER ALL THE HARD WORK... WE GOT IT BABES!!! HEHEHE.... YAY... OUR FIRST AWARDS...!!!! SUPERIOR FOR OUR CHANT AND EXCELLENCE FOR OUR CHEER!!! BTW...WE ALSO WON THE TEAM AWARD FOR BEST SPIRIT BY THE OTHER SQUADS!!!! GOOO SKINSSS!!!! WE ROCK!!!!!! urlLink
2004-06-02‎urlLink    ME AND OUR BUDDY!!! HEY BRI...THANKS FOR HELPIN US W/ OUR STUNTS, DANCES, CHEERS, JUMPS.... THANKS FOR HELPIN US OVER ALL!!! YOUR A SWEETIE... WE'LL MISS U!!!! :) urlLink
2004-06-02‎urlLink    HEY ROOM MATES!!! HOW BOUT ALL THAT WAKING UP EARLY ALL WEEK, AHN??? HEHE...BUT YA...WE MADE IT!!! LET ME TELL U... IT WAS STUFF GOIN TO SLEEP LATE AND WAKING UP THAT EARLY AND HAVING TO GO TO CHEER AEROBICS!!! LOL... HAPPY 2DAY IS THE LAST DAY? HEHE urlLink
2004-06-02‎urlLink    AWW...LOOK HOW CUTE WE LOOK!!!!  urlLink
2004-06-02‎urlLink    SMILE GUYS... WE GET TO TAKE THE SPIRIT STICK HOMEE!!!! YAY....AND WE WON THE EXCELLENCE AWARD FOR CHEER AND SUPERIOR AWARD FOR OUR SIDELINE CHANT!!!!WOW...WE ROCK....BUT...ARGH... OMG GIRLSS....I CANT BELIEVE ITS THE LAST DAY OF CAMPP!!!!!  WE HAD SOOOO MUCH FUNN!!!!!! ARGHH... ILL MISS U GUYS!!! CANT WAIT TILL THE SEASON STARTS!!! :) urlLink
2004-06-02‎I seriously dont understand! I seriously do not understand this whole relationship thing! I mean... somewhere along the way i must have missed a clue! I must have skipped a sign....cause seriously i have no idea about what a relationship is consist of!!!  If u like a guy and u really want it to work out.... be almost sure that IT WONT happen!! And if u dont really care bout it, be positive that he'll come around!! well... i just figured since im so bad at figuring things out that i would just not try at all!! Thats were i got it all wrong!! Things seem to be even more complicated once u have no intention to make it a big deal! I was trying to take life not as serious... i was just trying to have fun! It seems that i was lookin for fun in the wrong place!!  I thought u were lookin for the samething as me... apparently not! Why did u have to expect sooooo much from me? im sorry but as i said... i was just trying to enjoy life! Im sorry if i didnt feel the samething as u did but as i told u... dont expect much from me!!! I thought u were passed all this drama...but i just realized drama will always be there! And it is so ironic that U were the one that got so involved!!! Im sorry baby...but i think u should go for another person!!! U should go for someone as jealous and so emotionally out of balance AS U!!! And im sorry...ILL BE THE BIGGER PERSON...yes... ILL BE THE BIGGER PERSON AND TELL U THE TRUTH... ILL TELL U WHAT IM FEELING....(ISNT THAT WHAT U ALWAYS WANTED?)    IM FEELING SOMETHING IVE NEVER FELT FOR ANYONE ELSE....                              ....IM FEELING DISCUSSTED BY U!!!!!                                               (SORRY...U WANTED TO HEAR THE TRUTH!)
2004-06-02‎urlLink    SORRY PPL........... ITS CENSURED!!!!!!!!!!!! LOL urlLink
2004-06-01‎urlLink    LOL.......OMG WHATS GOIN ON??????????? THESE PPL ARE CRAZY!!!!!!!!!!!!!!!! AHHHHHHHHH I LOVE U GUYS SOOOOO MUCHHHHHH!!!!!!!!!!!!!!!!!!!! LOL urlLink
2004-06-01‎urlLink    WHAT THE F* IS GOIN ON???? LOL... THE KIDS HAVE GONE WILD!!!!!!!!!! urlLink
2004-06-01‎urlLink    gO gO gO...... HELLOOOOOOOO????? BEER BONG!!!!!! urlLink
2004-06-01‎urlLink    ShOw TheM wHaT U'rE MaDe oF!!! DONT MESS W NICK... HE CAN SMASH U JUST LIKE THAT!!! hAhEHi urlLink
2004-06-01‎urlLink    HeLL yA NICK...SHow them WHAT u do BeSt!!!! HEHEHE urlLink
2004-06-01‎urlLink    HEY JENNIFER... LOL... U'RE ON THE INTERNET!!! LOL... DID IT JUST TO PISS U OfF!!! LOV YO THOUGH...mUAh XOXO urlLink
2004-06-01‎urlLink    TuEsDaY NiTe!!!! UhUuhuuu.... u guys are sooooo hotttttt!!!!!!! LOL.....  urlLink
2004-06-01‎urlLink    AT PAULS GRADUATION PARTAY!!! bABeS....dOnT wE LOOK aDOrAbLE?? I cANt bELiEvE PAUL IS GOIN TO COLLEGE...:/ WE'LL MISS U PAUL!!! HERE'S A PIC OF YO HOT MAMAS!!!  urlLink
2004-06-01‎urlLink    dAViD n MiKE.......I LoVe U gUyS!!!! hEHehE..... cANt BELIEVE URE GOIN TO LAMAR NEXT YEAR MiKe!!!! wE'rE gOnNA hAVe SOOOOO mUCh FuN!!!!!  urlLink
2004-06-01‎urlLink    awww baby....we look adorable!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! I LOVE THIS PIC OF US SOOOOO MUCH!!!!!!!!!!! HIIHIHI urlLink
2004-06-01‎What I choose to do is of no concern to you and your friends Where I lay my hat may not be my home, but I will last on my own 'Cause it's me, and my life it's my life... Oh the world has sat in the palm of your hand not that you'd see and I'm tired and bored of waiting for you and all those things you never 'Cause it's me, and my life it's my life...
2004-06-01‎urlLink    Saturday night!!!! Clubbin night ended up being movie night!!!   urlLink
2004-07-26‎"""I have not failed. I've just found 10,000 ways that won't work.""        Thomas Alva Edison        ""The worst of times only occur to make the best of times seem even better"""
