date‎text
2004-07-30‎urlLink    from closest to further ah.. is roei ing.. silver, tung lieng, sharleen and louis..hehe urlLink
2004-07-24‎urlLink    Bus Scene #3 !!!.... try spotting Tiong !! Leftrow the last !!! hahaha !!!! *sleeping* urlLink
2004-07-24‎urlLink    We interrupt this program for a special report...... This is to show u that.. rong.. eatz anythin which is free !!! urlLink
2004-07-24‎urlLink    Anthony and Nelson..... syok ah anthony.. mp3 !...hahah !! urlLink
2004-07-24‎urlLink    Hong.. and me (right) !.... hahaha...  urlLink
2004-07-24‎urlLink    woah !!! Cik Tea !!! *slurp*.. lookz delicious !! urlLink
2004-07-24‎urlLink    Bus scene #2 !!.. haha... where u goin elizabeth and esther ?! haha... urlLink
2004-07-24‎urlLink    Kin Kin !... look at him !.... mp3-ing.... hahaa urlLink
2004-07-24‎urlLink    The scene at the bus..... look at bush again... think he saw osama.. woah.. dun rush ! urlLink
2004-07-24‎urlLink    Nelson a.k.a Pres.Bush...... wat u lookin at he says ? urlLink
2004-07-24‎urlLink    Time: 11hrs19minz08 secz!!!!!! urlLink
2004-07-24‎urlLink    Time: 11hrs19minz07secs............. urlLink
2004-07-24‎urlLink    Brian n Anthony again~! haha.. they almost got blamed when tham's fone got lost in the bus! PHEW..LUCKILY found! haha..relieved! hahahhah urlLink
2004-07-21‎urlLink    Brian and Anthony.. sharin mp3s... actualyl both of them have.. rich kids~! urlLink
2004-07-21‎urlLink    hahaha!!! tis more worse! hahahhaa.. dun palanting on the ground ah! cannot blame kin for his interest in posin like tis..hahhha! urlLink
2004-07-21‎urlLink    haha.. me, loong.. haha.. weird smile..hahahah~!  urlLink
2004-07-21‎urlLink    Sim sim!!! on d bus~ just woke up from sleep kua..dunno urlLink
2004-07-21‎urlLink    left to right...Me~! just normal la.. listenin to mp3, Tiong.. haha. funny, Kin.. usual pose again~! and Shim~! hahah urlLink
2004-07-21‎urlLink    anthony n brian! hahaa.. posing like wat..hahah urlLink
2004-07-20‎urlLink    ah? wat is she doin? haha.. dang..next time den !!! haha urlLink
2004-07-20‎urlLink    Katak~.. haha..his smile like chee rong eh! hahaha... but too bad not scary like rong's~ hahaha urlLink
2004-07-20‎urlLink    Anthony! haha.. finally got a picture of him! hahaa.. tis ass.. calls himself turkey? hahaha urlLink
2004-07-20‎urlLink    peace man! urlLink
2004-07-20‎urlLink    woohoo~! happy couples! haha.. Esther n Sam! ehehee!!! urlLink
2004-07-20‎urlLink    ah fatty tham! hahaha.. one thing very common abt him..he sweats so much with or without air conditioner! haha!! lieks to sleep alot too! PIG! urlLink
2004-07-20‎urlLink    mwhaha!! these two.. taken long long time ago! i found tis pic sumwhere in my files.. haha.. anywayz.. nice couples o the two~! hahaha.peace! urlLink
2004-07-19‎urlLink    woah!!!!!!!! who is tis !??!! hahaha.. jkjk..er.. tis is francesca.. woah... bri dun steam ah! hahaha.. aight.. tis one also the smart ones.. hahah.. anywayz, doesnt she look cute on tht pose? hahaha.. blehz! urlLink
2004-07-19‎urlLink    ah! tis is Lim Chee Rong.. haha!! sorry if u all got scared when u see his face.. itz natural.. haha! jk la.. anywayz tis smart ass guy really has a big mouth.. haha.. talks alot n shouts alot too!! haha urlLink
2004-07-19‎urlLink    haha... thtz me !.... blehz !! urlLink
2004-07-19‎urlLink    ah kin! posing.. haha.. ugly one la tis ! hahahahahha.. not gud pose.. like mine earlier! hahahaha! urlLink
2004-07-19‎urlLink    HA! BOO~! scared u !? hahaha.. duno why Brian show out big eyes n den the hands...doin wat monkeys do eh? hahaha.. blehz!! urlLink
2004-07-19‎urlLink    Lim chee hong! haha.. tis guy..here kinda hiao one also! alwez argue back with strong words~ hahahah.. alwez to ah kin! hahahha urlLink
2004-07-19‎urlLink    ah pres. Bush!! hahaha.. kiddin man.. his name is Nelson.. reali the hiao one ah him!! see him so quiet quiet ah..when u tok to him.. boom! haha.. unexpected words come out! hahaha! urlLink
2004-07-19‎urlLink    Johnny! haha.. posing ah him.. haha.. reali talkative guy when he's talking abt crapz n stuffs~ hahahah!! blehz! urlLink
2004-07-19‎urlLink    Arif~!!! hahaha.. playing chinese chess! haha.. so serious ah the face..but den.. lost so badly!! hahahahah!!! urlLink
2004-07-19‎urlLink    louis! haha.. classmate of ours! hehe.. he's kinda quiet tho..dun reali kno him..but hey ! we're frenz ! haha.. hen in chinese chess eh! hahah urlLink
2004-07-19‎urlLink    ah!! tis gurl here.. faking only one la.. so hardworking meh.. haha!!! blehz!!! urlLink
2004-07-19‎urlLink    ah hahaha!!! tis guy here is sam or tung lieng.. haha.. posing pla.. ppl doin work..u go n take pictures ah.. hahaha..!! urlLink
2004-07-19‎urlLink    haha.. our monitor! hong jyh yeong.. haha.. alwez like to help out? haha!! er. tall eh..n damn! u cant even push him! he just cant move!! urlLink
2004-07-19‎urlLink    ah! bao bao!! hehe..taking passport size picture o! hahaha!! blehz! he's a smart guy alrite! urlLink
2004-07-19‎urlLink    sim sim!!! haha.. shim jan ket.. playing cards.. during free period.. no teacher..hahah! urlLink
2004-07-19‎urlLink    our boss!!! haha..tiong!! haha.. one thing u gotta kno abt this guy.. he's damn rich! haha.. and dun get fooled when he says he dun have money. hahaha! urlLink
2004-07-19‎urlLink    ah.. brian thien.. haha.. taken during..er.. Bio class. hahaha.. got nuthin to do.. boring~.. haha! urlLink
2004-07-19‎urlLink    woah tis!!! u kno how much me,kin,brian bought for tis ?!?!! expensive la!!! hahaha..blehz!! but worth it for me!! #5 !!!! urlLink
2004-07-19‎urlLink    eh !? wat are we doin ?!?! hahaha.. kin's idea~! hahahaha.. hahaha......!! urlLink
2004-07-19‎urlLink    sart or not ?!! hahaa.. doesnt look like me o the middle one!! haha.. me with my jersey and brian on d left n kin kin on the right!! hahaha! # 5 rulz!!!!!! urlLink
2004-07-19‎urlLink    Kin^kin and me~! haha.. the two of us.. wat can we do? like to pose one.. hahaha.. fcoz he alwez say he better la.. so.. hahahha.. blehz~ urlLink
2004-07-19‎urlLink    haha~! tis is me lar fcoz~! ahhaa..lame ho? blehz~! urlLink
