date‎text
2004-06-28‎urlLink    Por que a un BMW???.....por que??? :ï¿½( urlLink
2004-06-24‎Well, as I promise here's where you can vote for a song,i't very simple, just put a comment with the name of the song, the artist or band and your own name an your e-mail adress...  I will notify you were the song that you ask for is here...  But remember you only have 2 days to vote, so do it now...
2004-06-24‎"Today I'm gonna speak in spanish in honor of some of my real friends...(for all who don't undersatnd english, just that i don't wanna thell them the true)...  Bueno para empezar hablarÃ© sobre futbol...  No cesan las sorpresas en la Eurocopa.Parece que este no es el aÃ±o de los grandes equipos de talla internacional pues en la eurocopa no les ha ido muy bien, claro excepto por holanda que hay va...  Francia perdiÃ³, merecidamente por su mal juego pienso yo, ante Grecia...  Alineaciones:      FRANCIA: Fabien Barthez; Bixente Lizarazu, William Gallas, Lilian Thuram, Mikael Silvester, Zinedine Zidane, Claude Makelele, Olivier Dacourt (Louis Saha, 72), Robert Pires (Jerome Rothen, 79), David Trezeguet (Sylvain Wiltord, 72), Thierry Henry.  GRECIA: Antonios Nikopolidis; Takis Fyssas, Traianos Dellas, Mihalis Kapsis, Giourkas Setairidis, Angelos Basinas, Theodore Zagoraikis, Themistoklis Nikolaidis (Vasilios Lakis, 60), Costas Katsouranis, Giorgos Karagounis, Angelos Charisteas.  Un gol griego dejÃ³ a la leyenda francesa fuera de la eurocopa...  Alemania, Francia, Inglaterra, EspaÃ±a, todos estos nombres son muy conocidos en la gama de selecciones nacionales que siempre estan en un alto nivel y dispuestas a ""dejar la vida en la cancha"" o ""jugarsela"", o como dirÃ­a el perro bermudez: ""echar toda la carne al asador""....  Cuando oigo las transmiciones por Espn,como dirÃ­a mi ma  ""espÃ­n"",o fox sports veo ke los comentarios son totalmente diferentes a los de mÃ©xico, claro son diferentes personas...En alguna llegada ellos dicen muy tranquilos...    ""Raul con el balÃ³n,...da para casillas...casillas devuelve para raul....raul con Zidane(ke ni alcaso porke hablo de la espaÃ±ola pero bueno... imaginemos ke es el real madrid)zidane avanza esta perfilado y.....gol gol gol gooooooooooooooooool....""    Pero en MÃ©xico esto serÃ­a muy diferente algo asi....   ""  La lleva matador...matador con el balon se la pasa a ramoncito.. ramoncito toca de taquito para el bofo...el bofo se perfila...vamos muchachos...bofo para matador...tuya, mia, tenla, te la presto , acariciamela, como se acaricia a la novia... el temo toma el balon ...solo...solo....solo....hay peligro de gol...tira....zambombazo.... gooooooooooooooolllllll.....el gol lo platicamos todos...entrÃ³ hasta donde las araÃ±as hacen su nido...donde los topos se meten con monse y donde los noviecitos se dan agarrones... ""   Lo cual es muy diferente....  Se fue Francia, en un campeonato que parecer ser destinado a convertirse en un cementerio de elefantes.  Y pues a falta de francia, inglaterra y sobre todo alemania tendre aque irle a otro equipo y ahora mi favorito es suecia o portugal pero creo ke los griegos darÃ¡n la sorpresa..."
2004-06-24‎"Every day IÂ´m gonna put the lyrics of one song, that it's gonna be chosen by myself or you can put comments in a post that IÂ´m gonna name mmmmmmm.....Let me think....""Wich song do you prefer?..."" yeah...that's the name.....For an Example I'm gonna put the lyrics of one of my favorites songs    My inmortal  - Evanecence   my immortal i'm so tired of being here suppressed by all of my childish fears and if you have to leave i wish that you would just leave because your presence still lingers here and it won't leave me alone   these wounds won't seem to heal this pain is just too real there's just too much that time cannot erase  when you cried i'd wipe away all of your tears when you'd scream i'd fight away all of your fears and i've held your hand through all of these years but you still have all of me  you used to captivate me by your resonating light but now i'm bound by the life you left behind your face it haunts my once pleasant dreams your voice it chased away all the sanity in me  these wounds won't seem to heal this pain is just too real there's just too much that time cannot erase  when you cried i'd wipe away all of your tears when you'd scream i'd fight away all of your fears and i've held your hand through all of these years but you still have all of me  i've tried so hard to tell myself that you're gone and though you're still with me i've been alone all along"
2004-06-24‎urlLink    My generation.... or a great part of it urlLink
2004-06-24‎urlLink    Alberto urlLink
2004-06-24‎Well today was the last day that i have to assist to my junior highschool college... I'm not of that kind of people who cries for this, but let me tell you that it was sad to see all my classmates crying...  But all our teachers gave us a few words of hope, joy, and why not, of reality...  Like the math theacher who said all that sad thing just for make us cry and he was very happy to see some of us crying...heÂ´s not bad, but thatÂ´s the way he is...  The spanish teacher said two or three things to each one of us... thatÂ´s something nice if she say some nice things, but it was the oposite thing, she just focus on tell us our bad things....  From that moment it all was....Partyyyy!!!!!....whoa....well thats what we think until the chemistry teacher arrives...she order that we have to turn off the music...bahh...but we continue...  Then the last moment came....with just 10 minutes to say goodbye to everyone that I see, it was all hughs, kisses and tears....  My friend alberto and me were the last who put a step outside of the college...  Now itÂ´s a new beginig...but I can't negate that IÂ´m gonna miss this moments...
2004-06-24‎urlLink    kenshin urlLink
2004-06-24‎urlLink    kenshin urlLink
2004-06-24‎I was a blogger in an account of my pal before it was cool to be a blogger, and I post a lot of comments , who helped me with my english...  Well now I decided to create an account because of 2 things:  1.-IÂ´m tired to go with alex's house (my pal) to write thigs of my own, having a personal computer, what a stupid thing dont you think?  And 2.- Because I'm fighting for an account in Gmail...please ig someone of gmail is reading this i'm desseperated for an account...  Please send me and invitation...
2004-06-24‎"Well, what can we said about the new rock bands....  They only give a bad image sometimes, which probably give them an extra sale of albums, bad the songs they play are awful....  letÂ´s just give an example: Limp Biskit, in the begining it was one of the top 5 bands of rock that were at the top of all popularity lists...but then they sing song about other things that was not ""cool"" in that moment  Other bands that are not very known have a lot of pretty descent songs, or not?  Please comment about this theme..."
2004-06-24‎urlLink    kenshin urlLink
2004-06-24‎How many of you have created an account at hotmail or yahoo and for some extrange reason it dissapears in just a few more days...  Well this is because the bad service, at my point of view, that they give to their clients, i am one of them and iÂ´m not very happy with the service...  I think that Gmail (from the great google) is the solution that we need from a long time, and the only thing is that itÂ´s only disponible for some people but I want an account...  If someone of gmail is reading this please give an account at your mail...  If some of you have a very different opinion abou this , please tell me IÂ´ll hear it...  Thats all for today...
